subfolder,mode,affinity_kcal_mol,clust_rmsd,ref_rmsd,clust_size,rmsd_avg,best_rmsd,energy_avg,best_run
1T8K_ll37,1,-49.1,0,999,145,999.0 9,99,-45.6,4981
1T8K_ll37,2,-48.6,27.7,999,129,999.0 9,99,-46.1,17611
1T8K_ll37,3,-48.4,25.2,999,139,999.0 9,99,-45.5,9949
1T8K_ll37,4,-47,26.3,999,99,999.0 9,99,-44.3,14011
1T8K_ll37,5,-46.9,14.3,999,132,999.0 9,99,-44.1,18104
1T8K_ll37,6,-46.8,14.5,999,105,999.0 9,99,-44.4,2930
1T8K_ll37,7,-46.5,8.3,999,122,999.0 9,99,-43.7,6870
1T8K_ll37,8,-46.3,17.8,999,79,999.0 9,99,-44.6,19740
1T8K_ll37,9,-46.2,15.8,999,120,999.0 9,99,-43.9,16062
1T8K_ll37,10,-46.1,26.2,999,91,999.0 9,99,-44.4,12265
1T8K_ll37,11,-45.8,15.5,999,84,999.0 9,99,-44.4,19533
1T8K_ll37,12,-45.7,15.2,999,147,999.0 9,99,-43.2,14929
1T8K_ll37,13,-45.7,15.8,999,118,999.0 9,99,-43.5,5236
1T8K_ll37,14,-45.7,13.9,999,126,999.0 9,99,-43,13362
1T8K_ll37,15,-45.6,26.4,999,109,999.0 9,99,-43.4,12904
1T8K_ll37,16,-45.6,29.9,999,92,999.0 9,99,-43.3,19980
1T8K_ll37,17,-45.3,26,999,113,999.0 9,99,-43.2,5465
1T8K_ll37,18,-45.1,17.4,999,75,999.0 9,99,-43.2,766
1T8K_ll37,19,-45.1,29.8,999,97,999.0 9,99,-43,11562
1T8K_ll37,20,-44.7,26.6,999,70,999.0 9,99,-42.5,2675
1T8K_ll37,21,-44.7,24.6,999,123,999.0 9,99,-42.4,18576
1T8K_ll37,22,-44.7,29.5,999,134,999.0 9,99,-42.4,4516
1T8K_ll37,23,-44.6,16.1,999,103,999.0 9,99,-42.7,14251
1T8K_ll37,24,-44.4,29.7,999,110,999.0 9,99,-42.7,17095
1T8K_ll37,25,-44.3,16.9,999,108,999.0 9,99,-42.2,18339
1T8K_ll37,26,-44.3,9.6,999,87,999.0 9,99,-42.6,10173
1T8K_ll37,27,-44.2,26.7,999,105,999.0 9,99,-42.1,11798
1T8K_ll37,28,-44.1,29.7,999,99,999.0 9,99,-41.9,11360
1T8K_ll37,29,-44,15.3,999,105,999.0 9,99,-42.1,14465
1T8K_ll37,30,-43.9,15.8,999,87,999.0 9,99,-42,404
1T8K_ll37,31,-43.9,7.7,999,83,999.0 9,99,-42.2,4026
1T8K_ll37,32,-43.9,7.3,999,89,999.0 9,99,-40.6,13546
1T8K_ll37,33,-43.8,17.5,999,133,999.0 9,99,-41.8,10857
1T8K_ll37,34,-43.8,16.3,999,93,999.0 9,99,-41.6,219
1T8K_ll37,35,-43.6,26.4,999,84,999.0 9,99,-41.7,15817
1T8K_ll37,36,-43.4,29.3,999,107,999.0 9,99,-40.8,8846
1T8K_ll37,37,-43.3,26.4,999,103,999.0 9,99,-40.9,3840
1T8K_ll37,38,-43.3,16.6,999,91,999.0 9,99,-41.7,10409
1T8K_ll37,39,-43.3,13.1,999,109,999.0 9,99,-41.3,16875
1T8K_ll37,40,-43.3,14.7,999,90,999.0 9,99,-40.9,19311
1T8K_ll37,41,-43.1,28.5,999,86,999.0 9,99,-41.4,7878
1T8K_ll37,42,-43.1,25.3,999,113,999.0 9,99,-41.5,12516
1T8K_ll37,43,-42.8,25.3,999,114,999.0 9,99,-40.9,2250
1T8K_ll37,44,-42.8,25.9,999,84,999.0 9,99,-40.7,15319
1T8K_ll37,45,-42.8,16.1,999,81,999.0 9,99,-41.4,3351
1T8K_ll37,46,-42.7,17.6,999,117,999.0 9,99,-40.7,13804
1T8K_ll37,47,-42.7,25.4,999,78,999.0 9,99,-41.4,5683
1T8K_ll37,48,-42.6,24.8,999,88,999.0 9,99,-41.1,8110
1T8K_ll37,49,-42.6,16.5,999,8,999.0 9,99,-42.6,12669
1T8K_ll37,50,-42.6,15.7,999,86,999.0 9,99,-40.3,1621
1T8K_ll37,51,-42.4,27.2,999,80,999.0 9,99,-40.2,7062
1T8K_ll37,52,-42.4,15.7,999,23,999.0 9,99,-40.5,19537
1T8K_ll37,53,-42.3,15.6,999,75,999.0 9,99,-40.4,13102
1T8K_ll37,54,-42.3,6.9,999,114,999.0 9,99,-40.7,18815
1T8K_ll37,55,-42.3,31,999,66,999.0 9,99,-40.2,1428
1T8K_ll37,56,-42.1,26.4,999,6,999.0 9,99,-40.8,12262
1T8K_ll37,57,-42,28.6,999,65,999.0 9,99,-40.5,6154
1T8K_ll37,58,-42,29.7,999,78,999.0 9,99,-40.1,15551
1T8K_ll37,59,-41.9,26.1,999,70,999.0 9,99,-40.4,11091
1T8K_ll37,60,-41.6,6.4,999,32,999.0 9,99,-40.3,2422
1T8K_ll37,61,-41.6,26,999,52,999.0 9,99,-40.9,20230
1T8K_ll37,62,-41.6,26.3,999,55,999.0 9,99,-39.8,12014
1T8K_ll37,63,-41.6,25.3,999,82,999.0 9,99,-39.6,16276
1T8K_ll37,64,-41.3,27.1,999,1,NA,NA,12263,NA
1T8K_ll37,65,-41.3,7.5,999,64,999.0 9,99,-40.2,14641
1T8K_ll37,66,-41.3,15.6,999,105,999.0 9,99,-39.3,17339
1T8K_ll37,67,-41.2,8.3,999,69,999.0 9,99,-40,20433
1T8K_ll37,68,-41.2,16.1,999,93,999.0 9,99,-39.6,6627
1T8K_ll37,69,-41.1,26.7,999,92,999.0 9,99,-39.7,17810
1T8K_ll37,70,-41.1,16.4,999,79,999.0 9,99,-39.7,591
1T8K_ll37,71,-40.9,8.9,999,70,999.0 9,99,-39,10595
1T8K_ll37,72,-40.9,23,999,59,999.0 9,99,-39.7,9247
1T8K_ll37,73,-40.9,16,999,48,999.0 9,99,-39.7,12663
1T8K_ll37,74,-40.7,32.8,999,56,999.0 9,99,-39.6,8313
1T8K_ll37,75,-40.6,7.8,999,84,999.0 9,99,-39.5,9669
1T8K_ll37,76,-40.6,9.1,999,51,999.0 9,99,-39.6,16640
1T8K_ll37,77,-40.5,25.5,999,68,999.0 9,99,-39.3,8572
1T8K_ll37,78,-40.5,24.5,999,17,999.0 9,99,-38.3,8111
1T8K_ll37,79,-40.4,25.6,999,1,NA,NA,17811,NA
1T8K_ll37,80,-40.4,17.3,999,82,999.0 9,99,-39.3,9445
1T8K_ll37,81,-40.2,25.6,999,1,NA,NA,2251,NA
1T8K_ll37,82,-40.2,16.4,999,76,999.0 9,99,-38.9,1237
1T8K_ll37,83,-40.2,16.8,999,5,999.0 9,99,-38.6,16052
1T8K_ll37,84,-40.2,10.2,999,58,999.0 9,99,-39.3,2030
1T8K_ll37,85,-40.1,25.6,999,34,999.0 9,99,-38.9,20221
1T8K_ll37,86,-40.1,5.8,999,38,999.0 9,99,-39.3,18989
1T8K_ll37,87,-40.1,26.1,999,22,999.0 9,99,-38.2,15822
1T8K_ll37,88,-39.9,26.1,999,115,999.0 9,99,-38.9,6411
1T8K_ll37,89,-39.9,24.9,999,9,999.0 9,99,-38.2,12257
1T8K_ll37,90,-39.6,25.7,999,53,999.0 9,99,-38.9,987
1T8K_ll37,91,-39.6,14.9,999,63,999.0 9,99,-38.7,3143
1T8K_ll37,92,-39.6,33.8,999,62,999.0 9,99,-38.7,5939
1T8K_ll37,93,-39.4,24.9,999,3,999.0 9,99,-38.2,9238
1T8K_ll37,94,-39.2,25.4,999,1,NA,NA,3835,NA
1T8K_ll37,95,-39,18,999,67,999.0 9,99,-38.4,3584
1T8K_ll37,96,-39,26,999,1,NA,NA,17816,NA
1T8K_ll37,97,-39,16.6,999,13,999.0 9,99,-37.8,12674
1T8K_ll37,98,-38.8,26,999,1,NA,NA,8580,NA
1T8K_ll37,99,-38.8,5.5,999,41,999.0 9,99,-38,7676
1T8K_ll37,100,-38.7,16.9,999,68,999.0 9,99,-38.1,1844
1T8K_melittin,1,-36.3,0,999,95,999.0 9,99,-33.5,11917
1T8K_melittin,2,-36.1,2.8,999,119,999.0 9,99,-33.3,19767
1T8K_melittin,3,-35.7,5.4,999,73,999.0 9,99,-31,21786
1T8K_melittin,4,-35.7,22.6,999,189,999.0 9,99,-31.8,18896
1T8K_melittin,5,-35.6,14.1,999,111,999.0 9,99,-32.5,5086
1T8K_melittin,6,-35.5,11.5,999,115,999.0 9,99,-32.2,6894
1T8K_melittin,7,-35.4,3.5,999,92,999.0 9,99,-32.7,9327
1T8K_melittin,8,-35.2,20.8,999,104,999.0 9,99,-32.4,4842
1T8K_melittin,9,-34.8,5.5,999,53,999.0 9,99,-32.6,7123
1T8K_melittin,10,-34.6,19.5,999,63,999.0 9,99,-32.7,7814
1T8K_melittin,11,-34.5,5.5,999,85,999.0 9,99,-32.3,8840
1T8K_melittin,12,-34.4,18.5,999,52,999.0 9,99,-33.1,13605
1T8K_melittin,13,-34.4,21.5,999,80,999.0 9,99,-33.1,16605
1T8K_melittin,14,-34.3,8.6,999,93,999.0 9,99,-31.4,13164
1T8K_melittin,15,-34.1,4.3,999,53,999.0 9,99,-32.2,19138
1T8K_melittin,16,-34,3.7,999,43,999.0 9,99,-32.7,18597
1T8K_melittin,17,-33.9,9.9,999,74,999.0 9,99,-31.7,2600
1T8K_melittin,18,-33.9,20.6,999,64,999.0 9,99,-31.9,1121
1T8K_melittin,19,-33.9,6.3,999,36,999.0 9,99,-33,8197
1T8K_melittin,20,-33.9,22.2,999,56,999.0 9,99,-32.2,17234
1T8K_melittin,21,-33.9,21.4,999,73,999.0 9,99,-30.9,9811
1T8K_melittin,22,-33.8,11,999,35,999.0 9,99,-32.9,2815
1T8K_melittin,23,-33.8,19.1,999,68,999.0 9,99,-32,9604
1T8K_melittin,24,-33.8,6.4,999,73,999.0 9,99,-32.2,12894
1T8K_melittin,25,-33.8,17.4,999,1,NA,NA,13608,NA
1T8K_melittin,26,-33.7,8.1,999,85,999.0 9,99,-31.9,17048
1T8K_melittin,27,-33.7,5.3,999,70,999.0 9,99,-32.5,14960
1T8K_melittin,28,-33.6,15.4,999,118,999.0 9,99,-30.6,17527
1T8K_melittin,29,-33.4,20.9,999,92,999.0 9,99,-31.1,13370
1T8K_melittin,30,-33.3,3.8,999,59,999.0 9,99,-31.8,11229
1T8K_melittin,31,-33.1,5.2,999,85,999.0 9,99,-30.6,4592
1T8K_melittin,32,-33.1,21.2,999,90,999.0 9,99,-31.2,16346
1T8K_melittin,33,-32.9,21.9,999,18,999.0 9,99,-31.8,14704
1T8K_melittin,34,-32.9,6.1,999,31,999.0 9,99,-30.7,7118
1T8K_melittin,35,-32.9,6.5,999,45,999.0 9,99,-30.5,6625
1T8K_melittin,36,-32.9,22.2,999,95,999.0 9,99,-30,4145
1T8K_melittin,37,-32.9,14.5,999,55,999.0 9,99,-29.8,20223
1T8K_melittin,38,-32.8,13.7,999,67,999.0 9,99,-30,2346
1T8K_melittin,39,-32.7,20.8,999,101,999.0 9,99,-30.3,5722
1T8K_melittin,40,-32.7,5.6,999,68,999.0 9,99,-31.4,11674
1T8K_melittin,41,-32.6,9.6,999,41,999.0 9,99,-31.5,20455
1T8K_melittin,42,-32.6,3.8,999,14,999.0 9,99,-28.8,18598
1T8K_melittin,43,-32.6,21.7,999,61,999.0 9,99,-29.1,21070
1T8K_melittin,44,-32.5,9.7,999,30,999.0 9,99,-31.6,5495
1T8K_melittin,45,-32.5,9.8,999,74,999.0 9,99,-30.8,21340
1T8K_melittin,46,-32.4,22.5,999,63,999.0 9,99,-30.7,22025
1T8K_melittin,47,-32.4,6,999,5,999.0 9,99,-29.5,7122
1T8K_melittin,48,-32.3,21.2,999,75,999.0 9,99,-30.6,3933
1T8K_melittin,49,-32.2,10.3,999,29,999.0 9,99,-31.3,10205
1T8K_melittin,50,-32.2,6.4,999,12,999.0 9,99,-28.3,12897
1T8K_melittin,51,-32.2,20.2,999,76,999.0 9,99,-29.3,16817
1T8K_melittin,52,-32.1,7.8,999,71,999.0 9,99,-30.4,17947
1T8K_melittin,53,-32.1,22.4,999,139,999.0 9,99,-29.4,3045
1T8K_melittin,54,-32.1,19,999,22,999.0 9,99,-30,20845
1T8K_melittin,55,-32.1,17.3,999,50,999.0 9,99,-30.4,6212
1T8K_melittin,56,-32.1,20.4,999,95,999.0 9,99,-30,22520
1T8K_melittin,57,-32,9.9,999,52,999.0 9,99,-30.4,10440
1T8K_melittin,58,-32,20.7,999,35,999.0 9,99,-29.6,21066
1T8K_melittin,59,-32,23.3,999,76,999.0 9,99,-29.7,11022
1T8K_melittin,60,-32,6.7,999,26,999.0 9,99,-29.2,14950
1T8K_melittin,61,-31.9,21,999,25,999.0 9,99,-30.8,18391
1T8K_melittin,62,-31.9,2.9,999,16,999.0 9,99,-30,8838
1T8K_melittin,63,-31.9,8.1,999,61,999.0 9,99,-29.5,19333
1T8K_melittin,64,-31.8,2.5,999,34,999.0 9,99,-28.7,19757
1T8K_melittin,65,-31.8,9.7,999,26,999.0 9,99,-29.6,10206
1T8K_melittin,66,-31.8,13.6,999,67,999.0 9,99,-30.1,14284
1T8K_melittin,67,-31.8,6.3,999,52,999.0 9,99,-30.3,8152
1T8K_melittin,68,-31.6,21.8,999,76,999.0 9,99,-29.4,12695
1T8K_melittin,69,-31.6,22.1,999,26,999.0 9,99,-29.8,14707
1T8K_melittin,70,-31.6,11.9,999,33,999.0 9,99,-29,2806
1T8K_melittin,71,-31.6,9.9,999,10,999.0 9,99,-31.2,7542
1T8K_melittin,72,-31.5,10.9,999,2,999.0 9,99,-28.8,10210
1T8K_melittin,73,-31.5,21.5,999,106,999.0 9,99,-29.7,2133
1T8K_melittin,74,-31.3,20.4,999,108,999.0 9,99,-29.3,1903
1T8K_melittin,75,-31.3,15.9,999,56,999.0 9,99,-29.7,7361
1T8K_melittin,76,-31.3,8.5,999,59,999.0 9,99,-29,5490
1T8K_melittin,77,-31.3,20.7,999,120,999.0 9,99,-29.5,15475
1T8K_melittin,78,-31.2,5.8,999,112,999.0 9,99,-29.5,17769
1T8K_melittin,79,-31.1,11,999,68,999.0 9,99,-29.4,21565
1T8K_melittin,80,-31.1,20.8,999,1,NA,NA,21072,NA
1T8K_melittin,81,-31.1,26.1,999,111,999.0 9,99,-29.2,3287
1T8K_melittin,82,-31.1,21.9,999,49,999.0 9,99,-29.6,1654
1T8K_melittin,83,-31.1,16.8,999,1,NA,NA,7354,NA
1T8K_melittin,84,-31.1,10.1,999,1,NA,NA,10211,NA
1T8K_melittin,85,-31.1,9,999,14,999.0 9,99,-30.1,21785
1T8K_melittin,86,-31.1,17.8,999,23,999.0 9,99,-29.2,13602
1T8K_melittin,87,-31,22,999,99,999.0 9,99,-29.1,869
1T8K_melittin,88,-31,4.7,999,12,999.0 9,99,-29.9,6629
1T8K_melittin,89,-31,10.4,999,67,999.0 9,99,-29.6,6443
1T8K_melittin,90,-31,17,999,14,999.0 9,99,-28.4,7353
1T8K_melittin,91,-30.9,13,999,26,999.0 9,99,-30.5,1490
1T8K_melittin,92,-30.8,17.4,999,82,999.0 9,99,-29.2,15856
1T8K_melittin,93,-30.8,21.6,999,92,999.0 9,99,-29.1,249
1T8K_melittin,94,-30.8,19.9,999,22,999.0 9,99,-30.4,20847
1T8K_melittin,95,-30.8,9,999,78,999.0 9,99,-29.1,9086
1T8K_melittin,96,-30.8,13.3,999,88,999.0 9,99,-29.1,508
1T8K_melittin,97,-30.8,19.4,999,27,999.0 9,99,-29.2,7820
1T8K_melittin,98,-30.7,10.2,999,33,999.0 9,99,-29.6,7532
1T8K_melittin,99,-30.6,21,999,1,NA,NA,12693,NA
1T8K_melittin,100,-30.5,22.5,999,39,999.0 9,99,-29.2,20003
1T8K_smap29,1,-48.9,0,999,107,999.0 9,99,-46.1,5237
1T8K_smap29,2,-46.1,7,999,69,999.0 9,99,-43.8,3964
1T8K_smap29,3,-46,11.6,999,132,999.0 9,99,-43,13583
1T8K_smap29,4,-45.9,24.7,999,79,999.0 9,99,-42.8,6087
1T8K_smap29,5,-45.6,3.9,999,99,999.0 9,99,-42.7,4586
1T8K_smap29,6,-45.4,2.3,999,33,999.0 9,99,-43,12689
1T8K_smap29,7,-45.3,8.9,999,103,999.0 9,99,-43.1,1546
1T8K_smap29,8,-45.1,24.8,999,101,999.0 9,99,-42.9,11054
1T8K_smap29,9,-44.7,3.5,999,89,999.0 9,99,-42.9,10431
1T8K_smap29,10,-44.4,9.7,999,71,999.0 9,99,-42.8,6344
1T8K_smap29,11,-44.1,7.4,999,79,999.0 9,99,-42,223
1T8K_smap29,12,-44.1,5.7,999,71,999.0 9,99,-42.8,2423
1T8K_smap29,13,-43.6,4.8,999,55,999.0 9,99,-41.9,13064
1T8K_smap29,14,-43.5,7.2,999,30,999.0 9,99,-42.4,5889
1T8K_smap29,15,-43.5,8.8,999,44,999.0 9,99,-41.3,8033
1T8K_smap29,16,-43.4,24.9,999,62,999.0 9,99,-42,11712
1T8K_smap29,17,-43.2,25.2,999,83,999.0 9,99,-41.5,8641
1T8K_smap29,18,-43.2,22.6,999,80,999.0 9,99,-41.1,5661
1T8K_smap29,19,-43.1,24.9,999,56,999.0 9,99,-41.6,14519
1T8K_smap29,20,-43.1,24.1,999,55,999.0 9,99,-42.1,12886
1T8K_smap29,21,-43.1,23,999,80,999.0 9,99,-41,3232
1T8K_smap29,22,-43.1,9.3,999,69,999.0 9,99,-40.9,4151
1T8K_smap29,23,-43,7.5,999,72,999.0 9,99,-41.5,9057
1T8K_smap29,24,-43,5.5,999,77,999.0 9,99,-41.4,11498
1T8K_smap29,25,-42.8,11.3,999,85,999.0 9,99,-40,15865
1T8K_smap29,26,-42.8,10.1,999,90,999.0 9,99,-41,3426
1T8K_smap29,27,-42.5,6.8,999,85,999.0 9,99,-40.7,16451
1T8K_smap29,28,-42.5,7.4,999,56,999.0 9,99,-41.7,1088
1T8K_smap29,29,-42.4,4,999,66,999.0 9,99,-40.9,14177
1T8K_smap29,30,-42.3,22.1,999,86,999.0 9,99,-40.8,4368
1T8K_smap29,31,-42.2,23.6,999,71,999.0 9,99,-40.7,2973
1T8K_smap29,32,-42.2,24.1,999,76,999.0 9,99,-40.4,15657
1T8K_smap29,33,-42.2,9.5,999,70,999.0 9,99,-40.8,16852
1T8K_smap29,34,-42.1,22.4,999,58,999.0 9,99,-40.6,13770
1T8K_smap29,35,-42,6.4,999,85,999.0 9,99,-40.3,456
1T8K_smap29,36,-42,24.1,999,46,999.0 9,99,-40.7,6972
1T8K_smap29,37,-41.8,8,999,58,999.0 9,99,-40.6,14787
1T8K_smap29,38,-41.8,24.4,999,38,999.0 9,99,-40,7801
1T8K_smap29,39,-41.8,6.8,999,46,999.0 9,99,-40.7,16224
1T8K_smap29,40,-41.5,23.8,999,44,999.0 9,99,-40.2,6724
1T8K_smap29,41,-41.5,9.5,999,55,999.0 9,99,-40.2,7627
1T8K_smap29,42,-41.5,8.2,999,44,999.0 9,99,-40.4,7447
1T8K_smap29,43,-41.4,6.7,999,12,999.0 9,99,-39.6,5892
1T8K_smap29,44,-41.4,7.8,999,2,999.0 9,99,-39.4,16228
1T8K_smap29,45,-41.4,10.2,999,64,999.0 9,99,-40.2,2805
1T8K_smap29,46,-41.3,5.9,999,2,999.0 9,99,-40,14173
1T8K_smap29,47,-41.3,6.2,999,3,999.0 9,99,-40.9,14789
1T8K_smap29,48,-41.3,5.5,999,27,999.0 9,99,-39.1,2416
1T8K_smap29,49,-41.2,7.8,999,5,999.0 9,99,-39.7,1091
1T8K_smap29,50,-41.2,10.1,999,26,999.0 9,99,-39.7,6501
1T8K_smap29,51,-41.1,6.9,999,47,999.0 9,99,-39.6,3759
1T8K_smap29,52,-41,10.7,999,79,999.0 9,99,-40,12319
1T8K_smap29,53,-40.9,23.4,999,58,999.0 9,99,-39.7,9969
1T8K_smap29,54,-40.9,3.6,999,62,999.0 9,99,-39.9,16072
1T8K_smap29,55,-40.9,10.8,999,24,999.0 9,99,-40.4,9517
1T8K_smap29,56,-40.8,23.9,999,76,999.0 9,99,-39.2,10672
1T8K_smap29,57,-40.8,21.8,999,26,999.0 9,99,-40.2,14313
1T8K_smap29,58,-40.7,9.6,999,52,999.0 9,99,-39.3,15404
1T8K_smap29,59,-40.7,24.8,999,54,999.0 9,99,-39.9,3607
